id;name;team_name;team_id;position;goals;season;comp_id
/players/GetHistoryStats?player_id=37731;Jeffrey Schlupp;Leicester City;13;Defender;3;2014;481
/players/GetHistoryStats?player_id=18851; Fernandinho;Manchester City;14;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=29602;Tom Cleverley;Aston Villa;24;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=20797;Jack Cork;Swansea City;747;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=27183;Jonjo Shelvey;Swansea City;747;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=27186;Matthew Phillips;Queens Park Rangers;30;Forward;3;2014;481
/players/GetHistoryStats?player_id=24690;Jack Rodwell;Sunderland;23;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=14405;Wayne Routledge;Swansea City;747;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=19377;Nathan Dyer;Swansea City;747;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=19401;Danny Rose;Tottenham Hotspur;19;Defender;3;2014;481
/players/GetHistoryStats?player_id=18655;Victor Anichebe;West Bromwich Albion;64;Forward;3;2014;481
/players/GetHistoryStats?player_id=6627;Bobby Zamora;Queens Park Rangers;30;Forward;3;2014;481
/players/GetHistoryStats?player_id=18214;Francesc Fabregas;Chelsea;8;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=31261;Andre Schurrle;Chelsea;8;Forward;3;2014;481
/players/GetHistoryStats?player_id=31307;Steven N'Zonzi;Stoke City;187;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=40150;Eduardo Vargas;Queens Park Rangers;30;Forward;3;2014;481
/players/GetHistoryStats?player_id=23082;Victor Moses;Stoke City;187;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=18643;Craig Gardner;West Bromwich Albion;64;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=36015;Andreas Weimann;Aston Villa;24;Forward;3;2014;481
/players/GetHistoryStats?player_id=30365;James Chester;Hull City;752;Defender;2;2014;481
