season,country,team,ranking
2013,Netherlands,Vitesse Arnhem,6
2013,Netherlands,Groningen,7
2013,Netherlands,AZ Alkmaar,8
2013,Netherlands,ADO Den Haag,9
2013,Netherlands,FC Utrecht,10
2013,Netherlands,PEC Zwolle,11
2013,Netherlands,Cambuur Leeuwarden,12
2013,Netherlands,Go Ahead Eagles,13
2013,Netherlands,Heracles Almelo,14
2013,Netherlands,NAC Breda,15
2013,Netherlands,RKC Waalwijk,16
2013,Netherlands,NEC Nijmegen,17
2013,Netherlands,Roda JC Kerk,18
2014,Netherlands,PSV Eindhoven,1
2014,Netherlands,Ajax,2
2014,Netherlands,AZ Alkmaar,3
2014,Netherlands,Feyenoord,4
2014,Netherlands,Vitesse Arnhem,5
2014,Netherlands,PEC Zwolle,6
2014,Netherlands,Heerenveen,7
2014,Netherlands,Groningen,8
2014,Netherlands,Willem II,9
2014,Netherlands,FC Twente *,10
2014,Netherlands,FC Utrecht,11
2014,Netherlands,Cambuur Leeuwarden,12
2014,Netherlands,ADO Den Haag,13
2014,Netherlands,Heracles Almelo,14
2014,Netherlands,Excelsior,15
2014,Netherlands,NAC Breda,16
2014,Netherlands,Go Ahead Eagles,17
2014,Netherlands,FC Dordrecht,18
2015,Netherlands,PSV Eindhoven,1
2015,Netherlands,Ajax,2
2015,Netherlands,Feyenoord,3
2015,Netherlands,AZ Alkmaar,4
2015,Netherlands,FC Utrecht,5
2015,Netherlands,Heracles Almelo,6
2015,Netherlands,Groningen,7
2015,Netherlands,PEC Zwolle,8
2015,Netherlands,Vitesse Arnhem,9
2015,Netherlands,NEC Nijmegen,10
2015,Netherlands,ADO Den Haag,11
2015,Netherlands,Heerenveen,12
2015,Netherlands,FC Twente *,13
2015,Netherlands,Roda JC Kerk,14
2015,Netherlands,Excelsior,15
2015,Netherlands,Willem II,16
2015,Netherlands,De Graafschap,17
2015,Netherlands,Cambuur Leeuwarden,18
2011,Spain,Real Madrid,1
2011,Spain,Barcelona,2
2011,Spain,Valencia,3
2011,Spain,Malaga,4
2011,Spain,Atletico Madrid,5
2011,Spain,Levante,6
2011,Spain,Osasuna,7
2011,Spain,Real Mallorca,8
2011,Spain,Sevilla,9
2011,Spain,Athletic Bilbao,10
2011,Spain,Getafe,11
2011,Spain,Real Sociedad,12
2011,Spain,Real Betis,13
2011,Spain,Espanyol,14
2011,Spain,Rayo Vallecano,15
2011,Spain,Real Zaragoza,16
2011,Spain,Granada,17
2011,Spain,Villarreal,18
2011,Spain,Sporting Gijon,19
2011,Spain,Racing Santander,20
2012,Spain,Barcelona,1
2012,Spain,Real Madrid,2
2012,Spain,Atletico Madrid,3
2012,Spain,Real Sociedad,4
2012,Spain,Valencia,5
2012,Spain,Malaga,6
2012,Spain,Real Betis,7
2012,Spain,Rayo Vallecano,8
2012,Spain,Sevilla,9
2012,Spain,Getafe,10
2012,Spain,Levante,11
2012,Spain,Athletic Bilbao,12
2012,Spain,Espanyol,13
2012,Spain,Real Valladolid,14
2012,Spain,Granada,15
2012,Spain,Osasuna,16
2012,Spain,Celta Vigo,17
2012,Spain,Real Mallorca,18
2012,Spain,Deportivo La Coruna,19
2012,Spain,Real Zaragoza,20
2013,Spain,Atletico Madrid,1
2013,Spain,Barcelona,2
2013,Spain,Real Madrid,3
2013,Spain,Athletic Bilbao,4
2013,Spain,Sevilla,5
2013,Spain,Villarreal,6
2013,Spain,Real Sociedad,7
2013,Spain,Valencia,8
2013,Spain,Celta Vigo,9
2013,Spain,Levante,10
2013,Spain,Malaga,11
2013,Spain,Rayo Vallecano,12
2013,Spain,Getafe,13
2013,Spain,Espanyol,14
2013,Spain,Granada,15
2013,Spain,Elche,16
2013,Spain,Almeria,17
2013,Spain,Osasuna,18
2013,Spain,Real Valladolid,19
2013,Spain,Real Betis,20
2014,Spain,Barcelona,1
2014,Spain,Real Madrid,2
2014,Spain,Atletico Madrid,3
2014,Spain,Valencia,4
2014,Spain,Sevilla,5
2014,Spain,Villarreal,6
2014,Spain,Athletic Bilbao,7
2014,Spain,Celta Vigo,8
2014,Spain,Malaga,9
2014,Spain,Espanyol,10
2014,Spain,Rayo Vallecano,11
2014,Spain,Real Sociedad,12
2014,Spain,Elche,13
2014,Spain,Levante,14
2014,Spain,Getafe,15
2014,Spain,Deportivo La Coruna,16
2014,Spain,Granada,17
2014,Spain,Eibar,18
2014,Spain,Almeria,19
2014,Spain,Cordoba,20
2015,Spain,Barcelona,1
